x,y,z,t
4570321.678338955,3158421.450642961,3122730.4482668005,26.8
4570306.395277389,3158435.375717587,3122738.6762718232,26.900000000000002
4570291.112164802,3158449.3007159075,3122746.90427002,27.0
4570275.829001195,3158463.225637924,3122755.1322613913,27.1
4570260.545786571,3158477.150483636,3122763.3602459375,27.200000000000003
4570245.262520928,3158491.0752530443,3122771.5882236566,27.3
4570229.979204265,3158504.9999461463,3122779.8161945515,27.400000000000002
4570214.695836585,3158518.924562943,3122788.0441586203,27.5
4570199.412417889,3158532.8491034354,3122796.2721158625,27.6
4570184.128948174,3158546.7735676216,3122804.50006628,27.700000000000003
4570168.845427443,3158560.6979555017,3122812.7280098703,27.8
4570153.561855696,3158574.6222670767,3122820.955946637,27.900000000000002
4570138.278232933,3158588.546502344,3122829.183876577,28.0
4570122.994559154,3158602.4706613054,3122837.4117996898,28.1
4570107.710834361,3158616.39474396,3122845.6397159784,28.200000000000003
4570092.427058552,3158630.318750308,3122853.8676254414,28.3
4570077.14323173,3158644.2426803485,3122862.0955280773,28.400000000000002
4570061.859353894,3158658.166534082,3122870.323423888,28.5
4570046.575425044,3158672.090311507,3122878.551312873,28.6
4570031.291445181,3158686.0140126254,3122886.779195031,28.700000000000003
4570016.007414305,3158699.9376374353,3122895.007070365,28.8
4570000.723332415,3158713.8611859367,3122903.234938872,28.900000000000002
4569985.439199515,3158727.7846581293,3122911.4628005526,29.0
4569970.155015603,3158741.708054014,3122919.6906554075,29.1
4569954.870780679,3158755.6313735894,3122927.9185034367,29.200000000000003
4569939.586494745,3158769.5546168555,3122936.14634464,29.3
4569924.3021578,3158783.4777838127,3122944.374179017,29.400000000000002
4569909.017769846,3158797.400874461,3122952.602006568,29.5
4569893.733330881,3158811.3238887982,3122960.829827292,29.6
4569878.448840907,3158825.246826826,3122969.0576411914,29.700000000000003
4569863.164299924,3158839.169688544,3122977.2854482634,29.8
4569847.8797079325,3158853.0924739507,3122985.51324851,29.900000000000002
4569832.5950649325,3158867.015183046,3122993.7410419313,30.0
4569817.310370926,3158880.9378158324,3123001.9688285245,30.1
4569802.025625911,3158894.8603723072,3123010.196608293,30.200000000000003
4569786.740829889,3158908.78285247,3123018.424381235,30.3
4569771.45598286,3158922.7052563215,3123026.65214735,30.400000000000002
4569756.171084826,3158936.6275838614,3123034.87990664,30.5
4569740.886135786,3158950.5498350896,3123043.1076591033,30.6
4569725.601135739,3158964.472010005,3123051.3354047397,30.700000000000003
4569710.3160846885,3158978.3941086084,3123059.5631435504,30.8
4569695.030982633,3158992.3161309,3123067.7908755355,30.900000000000002
4569679.745829573,3159006.2380768773,3123076.0186006925,31.0
4569664.46062551,3159020.1599465422,3123084.246319025,31.1
4569649.175370442,3159034.081739894,3123092.47403053,31.200000000000003
4569633.890064372,3159048.0034569325,3123100.7017352083,31.3
4569618.604707298,3159061.925097657,3123108.9294330613,31.400000000000002
4569603.319299222,3159075.846662067,3123117.1571240867,31.5
4569588.033840144,3159089.768150163,3123125.384808286,31.6
4569572.748330066,3159103.6895619454,3123133.61248566,31.700000000000003
4569557.462768984,3159117.6108974125,3123141.8401562064,31.8
4569542.177156903,3159131.532156565,3123150.067819926,31.900000000000002
4569526.891493822,3159145.4533394035,3123158.2954768203,32.0
4569511.60577974,3159159.3744459264,3123166.5231268867,32.1
4569496.320014658,3159173.295476133,3123174.750770128,32.2
4569481.0341985775,3159187.216430024,3123182.978406542,32.300000000000004
4569465.748331498,3159201.1373075997,3123191.2060361286,32.4
4569450.462413418,3159215.0581088588,3123199.4336588895,32.5
4569435.176444342,3159228.9788338016,3123207.6612748248,32.6
4569419.890424269,3159242.8994824286,3123215.8888839316,32.7
4569404.604353198,3159256.820054739,3123224.116486213,32.800000000000004
4569389.318231128,3159270.740550731,3123232.3440816673,32.9
4569374.032058064,3159284.6609704066,3123240.5716702943,33.0
4569358.745834002,3159298.581313764,3123248.7992520947,33.1
4569343.459558945,3159312.5015808055,3123257.0268270695,33.2
4569328.1732328925,3159326.4217715277,3123265.2543952162,33.300000000000004
4569312.886855845,3159340.3418859327,3123273.481956538,33.4
4569297.600427804,3159354.2619240195,3123281.709511032,33.5
4569282.313948766,3159368.181885787,3123289.937058698,33.6
4569267.027418736,3159382.101771237,3123298.164599539,33.7
4569251.740837713,3159396.0215803664,3123306.392133552,33.800000000000004
4569236.454205696,3159409.9413131783,3123314.619660738,33.9
4569221.1675226865,3159423.8609696706,3123322.847181098,34.0
4569205.880788684,3159437.780549842,3123331.07469463,34.1
4569190.59400369,3159451.7000536947,3123339.3022013362,34.2
4569175.307167706,3159465.6194812274,3123347.5297012157,34.300000000000004
4569160.020280728,3159479.5388324396,3123355.757194267,34.4
4569144.733342761,3159493.4581073313,3123363.9846804924,34.5
4569129.446353802,3159507.3773059016,3123372.21215989,34.6
4569114.159313855,3159521.296428152,3123380.439632461,34.7
4569098.872222917,3159535.2154740808,3123388.667098205,34.800000000000004
4569083.58508099,3159549.134443688,3123396.894557122,34.9
4569068.297888074,3159563.0533369742,3123405.1220092117,35.0
4569053.01064417,3159576.9721539393,3123413.349454475,35.1
4569037.723349279,3159590.890894581,3123421.5768929105,35.2
4569022.436003399,3159604.809558902,3123429.8043245194,35.300000000000004
4569007.148606531,3159618.7281469,3123438.031749301,35.4
4568991.861158677,3159632.646658574,3123446.2591672554,35.5
4568976.573659836,3159646.565093927,3123454.4865783826,35.6
4568961.28611001,3159660.483452956,3123462.7139826827,35.7
4568945.998509197,3159674.401735662,3123470.9413801553,35.800000000000004
4568930.710857398,3159688.3199420446,3123479.1687708003,35.9
4568915.423154616,3159702.238072103,3123487.3961546193,36.0
4568900.135400848,3159716.1561258384,3123495.62353161,36.1
4568884.847596096,3159730.074103249,3123503.8509017737,36.2
4568869.55974036,3159743.9920043345,3123512.0782651105,36.300000000000004
4568854.271833641,3159757.9098290973,3123520.305621619,36.4
4568838.98387594,3159771.827577534,3123528.532971301,36.5
4568823.6958672535,3159785.7452496453,3123536.760314156,36.6
4568808.407807586,3159799.6628454323,3123544.9876501826,36.7
4568793.119696937,3159813.580364893,3123553.214979382,36.800000000000004
4568777.831535307,3159827.4978080285,3123561.4423017553,36.9
4568762.5433226945,3159841.415174838,3123569.6696173,37.0
4568747.255059102,3159855.332465322,3123577.8969260175,37.1
4568731.966744528,3159869.2496794784,3123586.1242279075,37.2
4568716.678378975,3159883.16681731,3123594.3515229695,37.300000000000004
4568701.389962443,3159897.0838788133,3123602.578811205,37.4
4568686.101494931,3159911.00086399,3123610.806092613,37.5
4568670.81297644,3159924.91777284,3123619.0333671924,37.6
4568655.524406971,3159938.8346053623,3123627.260634945,37.7
4568640.235786524,3159952.7513615564,3123635.48789587,37.800000000000004
4568624.9471151,3159966.668041423,3123643.7151499675,37.9
4568609.658392698,3159980.5846449616,3123651.942397237,38.0
4568594.369619318,3159994.501172172,3123660.169637679,38.1
4568579.080794963,3160008.417623054,3123668.3968712934,38.2
4568563.79191963,3160022.3339976063,3123676.6240980807,38.300000000000004
4568548.502993323,3160036.2502958304,3123684.851318039,38.400000000000006
4568533.214016042,3160050.166517726,3123693.078531171,38.5
4568517.924987783,3160064.0826632916,3123701.305737475,38.6
4568502.635908551,3160077.9987325273,3123709.53293695,38.7
4568487.346778343,3160091.914725433,3123717.7601295994,38.800000000000004
4568472.057597163,3160105.830642009,3123725.987315419,38.900000000000006
4568456.768365011,3160119.7464822554,3123734.214494412,39.0
4568441.479081883,3160133.662246171,3123742.441666577,39.1
4568426.189747784,3160147.5779337557,3123750.6688319137,39.2
4568410.900362713,3160161.4935450098,3123758.8959904234,39.300000000000004
4568395.610926669,3160175.409079932,3123767.123142105,39.400000000000006
4568380.321439654,3160189.3245385233,3123775.3502869583,39.5
4568365.031901669,3160203.2399207833,3123783.577424984,39.6
4568349.74231271,3160217.1552267107,3123791.804556181,39.7
4568334.452672783,3160231.070456307,3123800.0316805514,39.800000000000004
4568319.162981886,3160244.9856095705,3123808.258798093,39.900000000000006
4568303.87324002,3160258.900686502,3123816.4859088073,40.0
4568288.583447184,3160272.8156871013,3123824.713012692,40.1
4568273.293603379,3160286.7306113667,3123832.9401097503,40.2
4568258.003708606,3160300.6454592994,3123841.1671999805,40.300000000000004
4568242.7137628645,3160314.560230898,3123849.394283382,40.400000000000006
4568227.423766156,3160328.4749261644,3123857.6213599555,40.5
4568212.13371848,3160342.3895450966,3123865.8484297018,40.6
4568196.8436198365,3160356.3040876943,3123874.0754926186,40.7
4568181.553470228,3160370.2185539585,3123882.3025487084,40.800000000000004
4568166.263269653,3160384.132943888,3123890.5295979697,40.900000000000006
4568150.973018112,3160398.047257484,3123898.756640403,41.0
4568135.682715603,3160411.961494743,3123906.983676008,41.1
4568120.392362134,3160425.875655669,3123915.210704785,41.2
4568105.101957697,3160439.7897402584,3123923.4377267333,41.300000000000004
4568089.8115022965,3160453.703748513,3123931.6647418533,41.400000000000006
4568074.520995934,3160467.617680432,3123939.891750146,41.5
4568059.230438606,3160481.5315360143,3123948.118751609,41.6
4568043.939830316,3160495.4453152614,3123956.3457462452,41.7
4568028.649171063,3160509.3590181717,3123964.572734053,41.800000000000004
4568013.358460848,3160523.272644745,3123972.799715032,41.900000000000006
4567998.067699671,3160537.1861949824,3123981.0266891825,42.0
4567982.776887533,3160551.0996688823,3123989.2536565047,42.1
4567967.486024433,3160565.0130664445,3123997.480616999,42.2
4567952.195110372,3160578.92638767,3124005.7075706646,42.300000000000004
4567936.904145353,3160592.8396325577,3124013.934517501,42.400000000000006
4567921.613129372,3160606.7528011077,3124022.16145751,42.5
4567906.322062433,3160620.6658933195,3124030.388390691,42.6
4567891.030944534,3160634.5789091922,3124038.6153170415,42.7
4567875.739775675,3160648.4918487277,3124046.8422365654,42.800000000000004
4567860.44855586,3160662.404711923,3124055.0691492604,42.900000000000006
4567845.157285085,3160676.3174987803,3124063.2960551265,43.0
4567829.865963354,3160690.2302092984,3124071.522954164,43.1
4567814.574590665,3160704.1428434774,3124079.7498463746,43.2
4567799.2831670195,3160718.0554013164,3124087.976731754,43.300000000000004
4567783.991692417,3160731.9678828153,3124096.2036103066,43.400000000000006
4567768.700166859,3160745.8802879746,3124104.4304820304,43.5
4567753.408590345,3160759.792616793,3124112.6573469257,43.6
4567738.116962875,3160773.7048692713,3124120.884204991,43.7
4567722.825284451,3160787.6170454086,3124129.1110562296,43.800000000000004
4567707.533555073,3160801.5291452054,3124137.3379006376,43.900000000000006
4567692.24177474,3160815.4411686608,3124145.564738218,44.0
4567676.949943454,3160829.353115775,3124153.791568969,44.1
4567661.658061214,3160843.2649865476,3124162.0183928926,44.2
4567646.366128022,3160857.1767809787,3124170.2452099873,44.300000000000004
4567631.074143875,3160871.0884990664,3124178.4720202507,44.400000000000006
4567615.782108778,3160885.000140813,3124186.698823688,44.5
4567600.49002273,3160898.911706218,3124194.925620296,44.6
4567585.197885728,3160912.823195279,3124203.152410074,44.7
4567569.905697777,3160926.7346079974,3124211.3791930242,44.800000000000004
4567554.613458874,3160940.6459443728,3124219.6059691454,44.900000000000006
4567539.321169022,3160954.557204405,3124227.832738437,45.0
4567524.0288282195,3160968.468388093,3124236.0595009006,45.1
4567508.736436468,3160982.3794954387,3124244.286256536,45.2
4567493.443993766,3160996.2905264394,3124252.513005341,45.300000000000004
4567478.151500116,3161010.2014810955,3124260.7397473175,45.400000000000006
